food_description,code,nutrient_amount,nutrient_name,nutrient_unit,food_category_id,food_category
Hummus,1600.0,19.0,Total lipid (fat),G,16.0,Legumes and Legume Products
Hummus,1600.0,18.7,Total lipid (fat),G,16.0,Legumes and Legume Products
Hummus,1600.0,16.6,Total lipid (fat),G,16.0,Legumes and Legume Products
Hummus,1600.0,19.1,Total lipid (fat),G,16.0,Legumes and Legume Products
Hummus,1600.0,18.2,Total lipid (fat),G,16.0,Legumes and Legume Products
Hummus,1600.0,18.0,Total lipid (fat),G,16.0,Legumes and Legume Products
Hummus,1600.0,18.2,Total lipid (fat),G,16.0,Legumes and Legume Products
Hummus,1600.0,14.8,Total lipid (fat),G,16.0,Legumes and Legume Products
Hummus,1600.0,11.9,Total lipid (fat),G,16.0,Legumes and Legume Products
Hummus,1600.0,15.2,Total lipid (fat),G,16.0,Legumes and Legume Products
Hummus,1600.0,18.8,Total lipid (fat),G,16.0,Legumes and Legume Products
"MILK, 2% ",100.0,1.8,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.91,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.92,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.92,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.91,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.97,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.87,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.85,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,2.06,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.9,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.9,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.97,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.96,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.87,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.92,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.81,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.68,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.87,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.81,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.93,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.97,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.94,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.92,Total lipid (fat),G,1.0,Dairy and Egg Products
"MILK, 2% ",100.0,1.97,Total lipid (fat),G,1.0,Dairy and Egg Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",1300.0,3.46,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",1300.0,23.4,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",1300.0,1.91,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",1300.0,23.9,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",1300.0,23.5,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",1300.0,2.81,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",1300.0,23.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",1300.0,2.07,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",1300.0,23.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",1300.0,3.3,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",1300.0,2.24,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",1300.0,24.0,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",1300.0,23.9,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",1300.0,3.01,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",1300.0,23.3,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",1300.0,3.45,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",1300.0,1.98,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",1300.0,22.9,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",1300.0,2.27,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",1300.0,23.3,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",1300.0,22.7,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",1300.0,1.47,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",1300.0,22.6,Protein,G,13.0,Beef Products
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",1300.0,1.74,Total lipid (fat),G,13.0,Beef Products
"TOMATOES, GRAPE",1100.0,0.7,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"TOMATOES, GRAPE",1100.0,0.6,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"TOMATOES, GRAPE",1100.0,0.5,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"TOMATOES, GRAPE",1100.0,0.46,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"TOMATOES, GRAPE",1100.0,0.82,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"TOMATOES, GRAPE",1100.0,0.69,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Hummus, commercial",1600.0,229.0,Energy,KCAL,16.0,Legumes and Legume Products
"Hummus, commercial",1600.0,7.35,Protein,G,16.0,Legumes and Legume Products
